instant,Date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp(°C),atemp,humidity(%),windspeed,Casual,Member,Total_rides,Weekday,Season
4302,2011-07-03,3,0,7,3,False,6,False,3,24.0,26.0,65.0,9.7,8,25,33,Sunday,Summer
4303,2011-07-03,3,0,7,4,False,6,False,3,24.0,26.0,65.0,9.7,3,2,5,Sunday,Summer
4304,2011-07-03,3,0,7,5,False,6,False,3,21.1,22.0,83.0,20.9,0,1,1,Sunday,Summer
4305,2011-07-03,3,0,7,6,False,6,False,2,21.1,20.0,94.0,9.7,0,3,3,Sunday,Summer
4306,2011-07-03,3,0,7,7,False,6,False,2,22.1,22.0,89.0,20.9,3,22,25,Sunday,Summer
4307,2011-07-03,3,0,7,8,False,6,False,1,24.0,26.0,79.0,24.1,39,53,92,Sunday,Summer
4308,2011-07-03,3,0,7,9,False,6,False,1,24.9,28.0,74.0,27.4,82,99,181,Sunday,Summer
4309,2011-07-03,3,0,7,10,False,6,False,1,26.8,30.0,66.0,17.7,131,133,264,Sunday,Summer
4310,2011-07-03,3,0,7,11,False,6,False,1,27.7,31.0,62.0,11.3,215,175,390,Sunday,Summer
4311,2011-07-03,3,0,7,12,False,6,False,1,29.6,34.0,55.0,11.3,198,206,404,Sunday,Summer
4312,2011-07-03,3,0,7,13,False,6,False,1,29.6,35.0,59.0,24.1,248,173,421,Sunday,Summer
4313,2011-07-03,3,0,7,14,False,6,False,1,30.5,36.0,56.0,27.4,225,150,375,Sunday,Summer
4314,2011-07-03,3,0,7,15,False,6,False,1,31.5,37.0,53.0,32.2,194,182,376,Sunday,Summer
4315,2011-07-03,3,0,7,16,False,6,False,1,31.5,37.0,53.0,32.2,195,219,414,Sunday,Summer
4316,2011-07-03,3,0,7,17,False,6,False,3,29.6,33.0,49.0,91.7,181,177,358,Sunday,Summer
4317,2011-07-03,3,0,7,18,False,6,False,3,29.6,33.0,49.0,91.7,74,107,181,Sunday,Summer
4318,2011-07-03,3,0,7,19,False,6,False,2,23.0,24.0,83.0,20.9,100,83,183,Sunday,Summer
4319,2011-07-03,3,0,7,20,False,6,False,3,23.0,24.0,83.0,0.0,83,93,176,Sunday,Summer
4320,2011-07-03,3,0,7,21,False,6,False,2,23.0,24.0,83.0,17.7,75,92,167,Sunday,Summer
4321,2011-07-03,3,0,7,22,False,6,False,2,23.0,24.0,78.0,11.3,69,93,162,Sunday,Summer
4322,2011-07-03,3,0,7,23,False,6,False,1,22.1,22.0,83.0,17.7,70,77,147,Sunday,Summer
4323,2011-07-04,3,0,7,0,True,0,False,1,22.1,22.0,83.0,14.5,63,77,140,Monday,Summer
4324,2011-07-04,3,0,7,1,True,0,False,1,22.1,22.0,83.0,9.7,43,76,119,Monday,Summer
4325,2011-07-04,3,0,7,2,True,0,False,1,22.1,22.0,83.0,0.0,33,30,63,Monday,Summer
4326,2011-07-04,3,0,7,3,True,0,False,1,22.1,23.0,78.0,0.0,13,13,26,Monday,Summer
4327,2011-07-04,3,0,7,4,True,0,False,2,23.0,24.0,78.0,9.7,8,4,12,Monday,Summer
4328,2011-07-04,3,0,7,5,True,0,False,2,22.1,22.0,83.0,14.5,1,3,4,Monday,Summer
4329,2011-07-04,3,0,7,6,True,0,False,1,22.1,22.0,89.0,17.7,5,11,16,Monday,Summer
4330,2011-07-04,3,0,7,7,True,0,False,1,23.0,24.0,83.0,14.5,17,19,36,Monday,Summer
4331,2011-07-04,3,0,7,8,True,0,False,1,24.9,28.0,74.0,11.3,42,44,86,Monday,Summer
4332,2011-07-04,3,0,7,9,True,0,False,2,25.8,29.0,66.0,9.7,142,96,238,Monday,Summer
4333,2011-07-04,3,0,7,10,True,0,False,2,27.7,30.0,55.0,9.7,166,114,280,Monday,Summer
4334,2011-07-04,3,0,7,11,True,0,False,2,27.7,30.0,55.0,9.7,177,172,349,Monday,Summer
4335,2011-07-04,3,0,7,12,True,0,False,2,28.7,31.0,52.0,0.0,237,210,447,Monday,Summer
4336,2011-07-04,3,0,7,13,True,0,False,2,28.7,31.0,49.0,0.0,242,181,423,Monday,Summer
4337,2011-07-04,3,0,7,14,True,0,False,1,29.6,32.0,46.0,0.0,235,173,408,Monday,Summer
4338,2011-07-04,3,0,7,15,True,0,False,1,30.5,33.0,43.0,9.7,224,184,408,Monday,Summer
4339,2011-07-04,3,0,7,16,True,0,False,1,30.5,33.0,41.0,0.0,236,216,452,Monday,Summer
4340,2011-07-04,3,0,7,17,True,0,False,1,29.6,32.0,46.0,0.0,240,196,436,Monday,Summer
4341,2011-07-04,3,0,7,18,True,0,False,1,29.6,32.0,46.0,14.5,222,196,418,Monday,Summer
4342,2011-07-04,3,0,7,19,True,0,False,2,28.7,31.0,49.0,17.7,170,205,375,Monday,Summer
4343,2011-07-04,3,0,7,20,True,0,False,2,27.7,30.0,55.0,11.3,195,191,386,Monday,Summer
4344,2011-07-04,3,0,7,21,True,0,False,2,26.8,29.0,62.0,11.3,195,262,457,Monday,Summer
4345,2011-07-04,3,0,7,22,True,0,False,2,26.8,29.0,62.0,14.5,115,211,326,Monday,Summer
4346,2011-07-04,3,0,7,23,True,0,False,2,25.8,29.0,70.0,11.3,44,94,138,Monday,Summer
4347,2011-07-05,3,0,7,0,False,1,True,2,24.9,27.0,65.0,17.7,19,36,55,Tuesday,Summer
4348,2011-07-05,3,0,7,1,False,1,True,1,24.9,27.0,65.0,11.3,15,24,39,Tuesday,Summer
4349,2011-07-05,3,0,7,2,False,1,True,1,23.0,25.0,74.0,9.7,8,5,13,Tuesday,Summer
4350,2011-07-05,3,0,7,3,False,1,True,1,23.0,25.0,74.0,24.1,1,7,8,Tuesday,Summer
4351,2011-07-05,3,0,7,4,False,1,True,1,23.0,25.0,69.0,17.7,1,4,5,Tuesday,Summer
4352,2011-07-05,3,0,7,5,False,1,True,1,23.0,25.0,69.0,0.0,1,19,20,Tuesday,Summer
4353,2011-07-05,3,0,7,6,False,1,True,1,23.0,25.0,74.0,9.7,3,91,94,Tuesday,Summer
4354,2011-07-05,3,0,7,7,False,1,True,1,24.9,27.0,65.0,9.7,22,248,270,Tuesday,Summer
4355,2011-07-05,3,0,7,8,False,1,True,1,25.8,29.0,62.0,14.5,41,391,432,Tuesday,Summer
4356,2011-07-05,3,0,7,9,False,1,True,1,26.8,29.0,58.0,14.5,50,177,227,Tuesday,Summer
4357,2011-07-05,3,0,7,10,False,1,True,1,27.7,30.0,52.0,11.3,55,84,139,Tuesday,Summer
4358,2011-07-05,3,0,7,11,False,1,True,1,28.7,30.0,46.0,11.3,75,97,172,Tuesday,Summer
4359,2011-07-05,3,0,7,12,False,1,True,1,29.6,32.0,43.0,11.3,71,130,201,Tuesday,Summer
4360,2011-07-05,3,0,7,13,False,1,True,1,30.5,33.0,43.0,11.3,67,136,203,Tuesday,Summer
4361,2011-07-05,3,0,7,14,False,1,True,1,29.6,33.0,49.0,17.7,66,112,178,Tuesday,Summer
4362,2011-07-05,3,0,7,15,False,1,True,1,30.5,33.0,43.0,0.0,51,111,162,Tuesday,Summer
4363,2011-07-05,3,0,7,16,False,1,True,1,30.5,34.0,46.0,11.3,79,202,281,Tuesday,Summer
4364,2011-07-05,3,0,7,17,False,1,True,1,30.5,34.0,46.0,11.3,79,466,545,Tuesday,Summer
4365,2011-07-05,3,0,7,18,False,1,True,1,29.6,34.0,55.0,17.7,70,426,496,Tuesday,Summer
4366,2011-07-05,3,0,7,19,False,1,True,1,29.6,35.0,59.0,14.5,71,297,368,Tuesday,Summer
4367,2011-07-05,3,0,7,20,False,1,True,1,27.7,32.0,66.0,11.3,59,225,284,Tuesday,Summer
4368,2011-07-05,3,0,7,21,False,1,True,1,28.7,33.0,62.0,27.4,77,168,245,Tuesday,Summer
4369,2011-07-05,3,0,7,22,False,1,True,1,27.7,32.0,66.0,24.1,31,124,155,Tuesday,Summer
4370,2011-07-05,3,0,7,23,False,1,True,1,26.8,30.0,66.0,17.7,19,54,73,Tuesday,Summer
4371,2011-07-06,3,0,7,0,False,2,True,1,25.8,30.0,74.0,20.9,11,26,37,Wednesday,Summer
4372,2011-07-06,3,0,7,1,False,2,True,1,24.9,28.0,74.0,14.5,4,11,15,Wednesday,Summer
4373,2011-07-06,3,0,7,2,False,2,True,1,24.9,28.0,79.0,9.7,1,4,5,Wednesday,Summer
4374,2011-07-06,3,0,7,3,False,2,True,1,24.9,28.0,79.0,0.0,0,6,6,Wednesday,Summer
4375,2011-07-06,3,0,7,4,False,2,True,2,24.0,26.0,83.0,9.7,0,6,6,Wednesday,Summer
4376,2011-07-06,3,0,7,5,False,2,True,1,24.0,26.0,83.0,9.7,5,30,35,Wednesday,Summer
4377,2011-07-06,3,0,7,6,False,2,True,1,24.9,28.0,79.0,9.7,9,112,121,Wednesday,Summer
4378,2011-07-06,3,0,7,7,False,2,True,2,25.8,30.0,79.0,0.0,24,288,312,Wednesday,Summer
4379,2011-07-06,3,0,7,8,False,2,True,2,25.8,30.0,74.0,11.3,31,397,428,Wednesday,Summer
4380,2011-07-06,3,0,7,9,False,2,True,3,24.9,28.0,79.0,20.9,31,158,189,Wednesday,Summer
4381,2011-07-06,3,0,7,10,False,2,True,3,24.9,28.0,79.0,9.7,13,30,43,Wednesday,Summer
4382,2011-07-06,3,0,7,11,False,2,True,2,25.8,30.0,74.0,0.0,24,103,127,Wednesday,Summer
4383,2011-07-06,3,0,7,12,False,2,True,2,26.8,30.0,66.0,9.7,38,114,152,Wednesday,Summer
4384,2011-07-06,3,0,7,13,False,2,True,2,26.8,30.0,70.0,11.3,33,107,140,Wednesday,Summer
4385,2011-07-06,3,0,7,14,False,2,True,1,27.7,32.0,66.0,30.6,50,113,163,Wednesday,Summer
4386,2011-07-06,3,0,7,15,False,2,True,1,27.7,32.0,70.0,30.6,55,130,185,Wednesday,Summer
4387,2011-07-06,3,0,7,16,False,2,True,1,27.7,32.0,70.0,27.4,57,218,275,Wednesday,Summer
4388,2011-07-06,3,0,7,17,False,2,True,1,28.7,33.0,59.0,24.1,79,517,596,Wednesday,Summer
4389,2011-07-06,3,0,7,18,False,2,True,1,27.7,31.0,62.0,20.9,77,486,563,Wednesday,Summer
4390,2011-07-06,3,0,7,19,False,2,True,1,26.8,30.0,70.0,24.1,71,323,394,Wednesday,Summer
4391,2011-07-06,3,0,7,20,False,2,True,1,25.8,30.0,74.0,27.4,55,257,312,Wednesday,Summer
4392,2011-07-06,3,0,7,21,False,2,True,1,24.9,28.0,79.0,20.9,66,175,241,Wednesday,Summer
4393,2011-07-06,3,0,7,22,False,2,True,1,24.9,28.0,79.0,20.9,30,156,186,Wednesday,Summer
4394,2011-07-06,3,0,7,23,False,2,True,1,24.0,26.0,83.0,24.1,20,78,98,Wednesday,Summer
4395,2011-07-07,3,0,7,0,False,3,True,1,23.0,23.0,89.0,14.5,6,29,35,Thursday,Summer
4396,2011-07-07,3,0,7,1,False,3,True,1,23.0,23.0,89.0,20.9,2,14,16,Thursday,Summer
4397,2011-07-07,3,0,7,2,False,3,True,1,23.0,23.0,89.0,20.9,1,7,8,Thursday,Summer
4398,2011-07-07,3,0,7,3,False,3,True,1,22.1,21.0,94.0,11.3,2,2,4,Thursday,Summer
4399,2011-07-07,3,0,7,4,False,3,True,1,22.1,22.0,89.0,11.3,0,4,4,Thursday,Summer
4400,2011-07-07,3,0,7,5,False,3,True,1,22.1,22.0,89.0,11.3,2,30,32,Thursday,Summer
4401,2011-07-07,3,0,7,6,False,3,True,2,22.1,22.0,89.0,14.5,11,107,118,Thursday,Summer
4402,2011-07-07,3,0,7,7,False,3,True,2,23.0,23.0,89.0,11.3,13,279,292,Thursday,Summer
4403,2011-07-07,3,0,7,8,False,3,True,2,24.9,28.0,79.0,20.9,28,415,443,Thursday,Summer
4404,2011-07-07,3,0,7,9,False,3,True,1,26.8,30.0,70.0,17.7,25,154,179,Thursday,Summer
4405,2011-07-07,3,0,7,10,False,3,True,1,28.7,33.0,62.0,0.0,29,72,101,Thursday,Summer
4406,2011-07-07,3,0,7,11,False,3,True,1,30.5,35.0,52.0,14.5,30,112,142,Thursday,Summer
4407,2011-07-07,3,0,7,12,False,3,True,1,31.5,35.0,41.0,0.0,32,139,171,Thursday,Summer
4408,2011-07-07,3,0,7,13,False,3,True,1,32.4,36.0,41.0,0.0,48,107,155,Thursday,Summer
4409,2011-07-07,3,0,7,14,False,3,True,1,32.4,36.0,41.0,27.4,39,121,160,Thursday,Summer
4410,2011-07-07,3,0,7,15,False,3,True,1,32.4,36.0,41.0,27.4,47,119,166,Thursday,Summer
4411,2011-07-07,3,0,7,16,False,3,True,1,32.4,35.0,39.0,24.1,47,218,265,Thursday,Summer
4412,2011-07-07,3,0,7,17,False,3,True,1,32.4,34.0,36.0,27.4,80,489,569,Thursday,Summer
4413,2011-07-07,3,0,7,18,False,3,True,1,31.5,34.0,44.0,32.2,70,492,562,Thursday,Summer
4414,2011-07-07,3,0,7,19,False,3,True,1,30.5,35.0,52.0,30.6,79,286,365,Thursday,Summer
4415,2011-07-07,3,0,7,20,False,3,True,1,27.7,31.0,58.0,38.6,61,224,285,Thursday,Summer
4416,2011-07-07,3,0,7,21,False,3,True,1,26.8,29.0,62.0,17.7,39,170,209,Thursday,Summer
4417,2011-07-07,3,0,7,22,False,3,True,1,26.8,29.0,62.0,17.7,32,150,182,Thursday,Summer
4418,2011-07-07,3,0,7,23,False,3,True,1,25.8,29.0,66.0,0.0,31,98,129,Thursday,Summer
4419,2011-07-08,3,0,7,0,False,4,True,1,26.8,30.0,66.0,11.3,6,41,47,Friday,Summer
4420,2011-07-08,3,0,7,1,False,4,True,1,25.8,30.0,79.0,0.0,9,25,34,Friday,Summer
4421,2011-07-08,3,0,7,2,False,4,True,2,24.9,28.0,74.0,17.7,10,12,22,Friday,Summer
4422,2011-07-08,3,0,7,3,False,4,True,1,24.0,26.0,79.0,11.3,2,4,6,Friday,Summer
4423,2011-07-08,3,0,7,4,False,4,True,1,24.9,28.0,79.0,27.4,7,4,11,Friday,Summer
4424,2011-07-08,3,0,7,5,False,4,True,1,24.0,26.0,79.0,27.4,3,24,27,Friday,Summer
4425,2011-07-08,3,0,7,6,False,4,True,1,24.9,28.0,74.0,11.3,11,91,102,Friday,Summer
4426,2011-07-08,3,0,7,7,False,4,True,2,24.9,28.0,79.0,20.9,30,302,332,Friday,Summer
4427,2011-07-08,3,0,7,8,False,4,True,2,25.8,30.0,74.0,27.4,36,421,457,Friday,Summer
4428,2011-07-08,3,0,7,9,False,4,True,2,27.7,32.0,70.0,32.2,30,211,241,Friday,Summer
4429,2011-07-08,3,0,7,10,False,4,True,2,26.8,30.0,70.0,38.6,30,108,138,Friday,Summer
4430,2011-07-08,3,0,7,11,False,4,True,2,26.8,31.0,74.0,27.4,61,104,165,Friday,Summer
4431,2011-07-08,3,0,7,12,False,4,True,2,27.7,32.0,70.0,30.6,49,164,213,Friday,Summer
4432,2011-07-08,3,0,7,13,False,4,True,2,28.7,34.0,66.0,30.6,54,175,229,Friday,Summer
4433,2011-07-08,3,0,7,14,False,4,True,2,29.6,36.0,63.0,38.6,53,163,216,Friday,Summer
4434,2011-07-08,3,0,7,15,False,4,True,2,29.6,36.0,63.0,38.6,39,102,141,Friday,Summer
4435,2011-07-08,3,0,7,16,False,4,True,3,24.0,26.0,83.0,48.3,27,105,132,Friday,Summer
4436,2011-07-08,3,0,7,17,False,4,True,3,23.0,23.0,89.0,48.3,6,161,167,Friday,Summer
4437,2011-07-08,3,0,7,18,False,4,True,1,23.0,24.0,83.0,9.7,35,281,316,Friday,Summer
4438,2011-07-08,3,0,7,19,False,4,True,1,23.0,24.0,83.0,9.7,45,225,270,Friday,Summer
4439,2011-07-08,3,0,7,20,False,4,True,1,23.0,24.0,83.0,17.7,30,220,250,Friday,Summer
4440,2011-07-08,3,0,7,21,False,4,True,2,23.0,24.0,83.0,27.4,46,158,204,Friday,Summer
4441,2011-07-08,3,0,7,22,False,4,True,2,23.0,24.0,78.0,20.9,33,136,169,Friday,Summer
4442,2011-07-08,3,0,7,23,False,4,True,2,23.0,24.0,78.0,9.7,40,111,151,Friday,Summer
4443,2011-07-09,3,0,7,0,False,5,False,2,23.0,24.0,83.0,14.5,31,90,121,Saturday,Summer
4444,2011-07-09,3,0,7,1,False,5,False,2,22.1,22.0,89.0,11.3,5,48,53,Saturday,Summer
4445,2011-07-09,3,0,7,2,False,5,False,1,22.1,22.0,89.0,17.7,12,43,55,Saturday,Summer
4446,2011-07-09,3,0,7,3,False,5,False,1,22.1,22.0,89.0,14.5,7,23,30,Saturday,Summer
4447,2011-07-09,3,0,7,4,False,5,False,1,22.1,22.0,83.0,24.1,2,4,6,Saturday,Summer
4448,2011-07-09,3,0,7,5,False,5,False,2,21.1,21.0,88.0,17.7,4,11,15,Saturday,Summer
4449,2011-07-09,3,0,7,6,False,5,False,2,22.1,22.0,83.0,20.9,11,27,38,Saturday,Summer
4450,2011-07-09,3,0,7,7,False,5,False,1,23.0,24.0,78.0,20.9,21,50,71,Saturday,Summer
4451,2011-07-09,3,0,7,8,False,5,False,1,24.9,27.0,70.0,27.4,68,114,182,Saturday,Summer
4452,2011-07-09,3,0,7,9,False,5,False,1,26.8,29.0,58.0,30.6,77,170,247,Saturday,Summer
4453,2011-07-09,3,0,7,10,False,5,False,1,27.7,30.0,52.0,17.7,87,177,264,Saturday,Summer
4454,2011-07-09,3,0,7,11,False,5,False,1,28.7,30.0,46.0,32.2,101,189,290,Saturday,Summer
4455,2011-07-09,3,0,7,12,False,5,False,1,29.6,32.0,46.0,27.4,145,221,366,Saturday,Summer
4456,2011-07-09,3,0,7,13,False,5,False,1,30.5,33.0,41.0,24.1,167,249,416,Saturday,Summer
4457,2011-07-09,3,0,7,14,False,5,False,1,31.5,33.0,36.0,14.5,158,215,373,Saturday,Summer
4458,2011-07-09,3,0,7,15,False,5,False,1,31.5,32.0,34.0,9.7,182,220,402,Saturday,Summer
4459,2011-07-09,3,0,7,16,False,5,False,1,30.5,32.0,38.0,0.0,171,245,416,Saturday,Summer
4460,2011-07-09,3,0,7,17,False,5,False,1,31.5,32.0,32.0,0.0,160,241,401,Saturday,Summer
4461,2011-07-09,3,0,7,18,False,5,False,1,30.5,32.0,36.0,11.3,132,246,378,Saturday,Summer
4462,2011-07-09,3,0,7,19,False,5,False,1,27.7,30.0,55.0,17.7,128,178,306,Saturday,Summer
4463,2011-07-09,3,0,7,20,False,5,False,1,27.7,31.0,58.0,24.1,129,185,314,Saturday,Summer
4464,2011-07-09,3,0,7,21,False,5,False,1,26.8,29.0,58.0,17.7,83,155,238,Saturday,Summer
4465,2011-07-09,3,0,7,22,False,5,False,1,25.8,29.0,62.0,17.7,60,154,214,Saturday,Summer
4466,2011-07-09,3,0,7,23,False,5,False,1,25.8,28.0,58.0,20.9,47,93,140,Saturday,Summer
4467,2011-07-10,3,0,7,0,False,6,False,1,24.9,27.0,61.0,17.7,42,112,154,Sunday,Summer
4468,2011-07-10,3,0,7,1,False,6,False,1,24.9,27.0,61.0,14.5,19,94,113,Sunday,Summer
4469,2011-07-10,3,0,7,2,False,6,False,1,24.0,26.0,69.0,9.7,28,68,96,Sunday,Summer
4470,2011-07-10,3,0,7,3,False,6,False,1,23.0,25.0,74.0,9.7,6,19,25,Sunday,Summer
4471,2011-07-10,3,0,7,4,False,6,False,1,23.0,25.0,69.0,9.7,0,5,5,Sunday,Summer
4472,2011-07-10,3,0,7,5,False,6,False,1,23.0,25.0,74.0,0.0,7,10,17,Sunday,Summer
4473,2011-07-10,3,0,7,6,False,6,False,1,22.1,23.0,78.0,9.7,8,17,25,Sunday,Summer
4474,2011-07-10,3,0,7,7,False,6,False,1,24.9,27.0,70.0,9.7,27,38,65,Sunday,Summer
4475,2011-07-10,3,0,7,8,False,6,False,1,25.8,29.0,66.0,0.0,27,65,92,Sunday,Summer
4476,2011-07-10,3,0,7,9,False,6,False,1,26.8,30.0,66.0,9.7,62,107,169,Sunday,Summer
4477,2011-07-10,3,0,7,10,False,6,False,1,27.7,30.0,55.0,14.5,95,173,268,Sunday,Summer
4478,2011-07-10,3,0,7,11,False,6,False,1,28.7,32.0,55.0,20.9,110,177,287,Sunday,Summer
4479,2011-07-10,3,0,7,12,False,6,False,1,30.5,34.0,46.0,30.6,133,244,377,Sunday,Summer
4480,2011-07-10,3,0,7,13,False,6,False,1,29.6,32.0,46.0,32.2,139,228,367,Sunday,Summer
4481,2011-07-10,3,0,7,14,False,6,False,1,30.5,33.0,41.0,35.4,122,227,349,Sunday,Summer
4482,2011-07-10,3,0,7,15,False,6,False,1,31.5,33.0,39.0,30.6,142,219,361,Sunday,Summer
4483,2011-07-10,3,0,7,16,False,6,False,1,31.5,34.0,41.0,30.6,128,244,372,Sunday,Summer
4484,2011-07-10,3,0,7,17,False,6,False,1,31.5,33.0,36.0,24.1,146,217,363,Sunday,Summer
4485,2011-07-10,3,0,7,18,False,6,False,1,30.5,33.0,43.0,30.6,141,222,363,Sunday,Summer
4486,2011-07-10,3,0,7,19,False,6,False,1,29.6,33.0,49.0,35.4,120,183,303,Sunday,Summer
4487,2011-07-10,3,0,7,20,False,6,False,1,27.7,30.0,55.0,20.9,101,167,268,Sunday,Summer
4488,2011-07-10,3,0,7,21,False,6,False,1,26.8,29.0,62.0,27.4,65,162,227,Sunday,Summer
4489,2011-07-10,3,0,7,22,False,6,False,1,26.8,30.0,66.0,24.1,56,87,143,Sunday,Summer
4490,2011-07-10,3,0,7,23,False,6,False,1,25.8,29.0,66.0,27.4,19,53,72,Sunday,Summer
4491,2011-07-11,3,0,7,0,False,0,True,1,24.9,27.0,65.0,20.9,10,25,35,Monday,Summer
4492,2011-07-11,3,0,7,1,False,0,True,1,24.9,27.0,61.0,30.6,5,5,10,Monday,Summer
4493,2011-07-11,3,0,7,2,False,0,True,1,24.9,27.0,61.0,24.1,8,4,12,Monday,Summer
4494,2011-07-11,3,0,7,3,False,0,True,1,24.0,26.0,65.0,17.7,2,8,10,Monday,Summer
4495,2011-07-11,3,0,7,4,False,0,True,1,23.0,25.0,74.0,24.1,0,4,4,Monday,Summer
4496,2011-07-11,3,0,7,5,False,0,True,1,23.0,25.0,74.0,14.5,5,21,26,Monday,Summer
4497,2011-07-11,3,0,7,6,False,0,True,1,24.0,26.0,74.0,20.9,19,102,121,Monday,Summer
4498,2011-07-11,3,0,7,7,False,0,True,1,24.9,28.0,74.0,27.4,28,289,317,Monday,Summer
4499,2011-07-11,3,0,7,8,False,0,True,1,26.8,30.0,66.0,30.6,35,385,420,Monday,Summer
4500,2011-07-11,3,0,7,9,False,0,True,1,28.7,33.0,59.0,32.2,41,167,208,Monday,Summer
4501,2011-07-11,3,0,7,10,False,0,True,1,29.6,34.0,55.0,38.6,44,73,117,Monday,Summer
4502,2011-07-11,3,0,7,11,False,0,True,1,30.5,36.0,56.0,32.2,39,89,128,Monday,Summer
4503,2011-07-11,3,0,7,12,False,0,True,1,31.5,37.0,53.0,30.6,40,108,148,Monday,Summer
4504,2011-07-11,3,0,7,13,False,0,True,1,32.4,38.0,50.0,27.4,22,119,141,Monday,Summer
4505,2011-07-11,3,0,7,14,False,0,True,1,32.4,39.0,53.0,30.6,40,94,134,Monday,Summer
4506,2011-07-11,3,0,7,15,False,0,True,1,32.4,40.0,56.0,45.1,38,108,146,Monday,Summer
4507,2011-07-11,3,0,7,16,False,0,True,1,32.4,40.0,56.0,41.8,57,182,239,Monday,Summer
4508,2011-07-11,3,0,7,17,False,0,True,1,32.4,40.0,56.0,45.1,59,455,514,Monday,Summer
4509,2011-07-11,3,0,7,18,False,0,True,1,32.4,39.0,53.0,41.8,57,415,472,Monday,Summer
4510,2011-07-11,3,0,7,19,False,0,True,1,31.5,39.0,59.0,35.4,80,293,373,Monday,Summer
4511,2011-07-11,3,0,7,20,False,0,True,1,25.8,30.0,74.0,45.1,42,194,236,Monday,Summer
4512,2011-07-11,3,0,7,21,False,0,True,1,24.9,28.0,79.0,45.1,21,109,130,Monday,Summer
4513,2011-07-11,3,0,7,22,False,0,True,1,25.8,30.0,74.0,14.5,20,70,90,Monday,Summer
4514,2011-07-11,3,0,7,23,False,0,True,1,24.9,28.0,79.0,14.5,11,44,55,Monday,Summer
4515,2011-07-12,3,0,7,0,False,1,True,1,24.9,28.0,79.0,14.5,3,19,22,Tuesday,Summer
4516,2011-07-12,3,0,7,1,False,1,True,1,24.9,28.0,79.0,9.7,6,8,14,Tuesday,Summer
4517,2011-07-12,3,0,7,2,False,1,True,1,24.9,28.0,79.0,11.3,2,7,9,Tuesday,Summer
4518,2011-07-12,3,0,7,3,False,1,True,2,24.9,28.0,79.0,0.0,2,6,8,Tuesday,Summer
4519,2011-07-12,3,0,7,4,False,1,True,1,24.9,28.0,79.0,17.7,0,6,6,Tuesday,Summer
4520,2011-07-12,3,0,7,5,False,1,True,1,24.9,28.0,79.0,9.7,4,21,25,Tuesday,Summer
4521,2011-07-12,3,0,7,6,False,1,True,1,26.8,29.0,58.0,24.1,13,102,115,Tuesday,Summer
4522,2011-07-12,3,0,7,7,False,1,True,1,27.7,30.0,55.0,20.9,29,301,330,Tuesday,Summer
4523,2011-07-12,3,0,7,8,False,1,True,1,27.7,31.0,58.0,24.1,35,382,417,Tuesday,Summer
4524,2011-07-12,3,0,7,9,False,1,True,1,28.7,32.0,55.0,53.1,27,149,176,Tuesday,Summer
4525,2011-07-12,3,0,7,10,False,1,True,1,30.5,35.0,52.0,17.7,38,85,123,Tuesday,Summer
4526,2011-07-12,3,0,7,11,False,1,True,1,30.5,35.0,52.0,17.7,39,86,125,Tuesday,Summer
4527,2011-07-12,3,0,7,12,False,1,True,1,32.4,36.0,44.0,32.2,38,125,163,Tuesday,Summer
4528,2011-07-12,3,0,7,13,False,1,True,1,32.4,37.0,47.0,24.1,32,104,136,Tuesday,Summer
4529,2011-07-12,3,0,7,14,False,1,True,1,34.3,40.0,42.0,32.2,33,91,124,Tuesday,Summer
4530,2011-07-12,3,0,7,15,False,1,True,1,34.3,40.0,42.0,38.6,37,111,148,Tuesday,Summer
4531,2011-07-12,3,0,7,16,False,1,True,1,32.4,36.0,44.0,30.6,25,177,202,Tuesday,Summer
4532,2011-07-12,3,0,7,17,False,1,True,1,33.4,38.0,44.0,30.6,48,380,428,Tuesday,Summer
4533,2011-07-12,3,0,7,18,False,1,True,1,32.4,37.0,47.0,32.2,39,472,511,Tuesday,Summer
4534,2011-07-12,3,0,7,19,False,1,True,1,31.5,34.0,44.0,30.6,42,295,337,Tuesday,Summer
4535,2011-07-12,3,0,7,20,False,1,True,1,30.5,33.0,43.0,20.9,57,251,308,Tuesday,Summer
4536,2011-07-12,3,0,7,21,False,1,True,1,30.5,33.0,43.0,11.3,49,209,258,Tuesday,Summer
4537,2011-07-12,3,0,7,22,False,1,True,1,29.6,32.0,46.0,14.5,44,150,194,Tuesday,Summer
4538,2011-07-12,3,0,7,23,False,1,True,1,28.7,31.0,52.0,0.0,20,59,79,Tuesday,Summer
4539,2011-07-13,3,0,7,0,False,2,True,1,27.7,31.0,62.0,0.0,9,37,46,Wednesday,Summer
4540,2011-07-13,3,0,7,1,False,2,True,1,27.7,30.0,55.0,0.0,1,11,12,Wednesday,Summer
4541,2011-07-13,3,0,7,2,False,2,True,1,27.7,30.0,55.0,0.0,2,3,5,Wednesday,Summer
4542,2011-07-13,3,0,7,3,False,2,True,1,26.8,29.0,58.0,20.9,0,4,4,Wednesday,Summer
4543,2011-07-13,3,0,7,4,False,2,True,1,26.8,29.0,58.0,27.4,0,5,5,Wednesday,Summer
4544,2011-07-13,3,0,7,5,False,2,True,1,26.8,29.0,58.0,20.9,4,22,26,Wednesday,Summer
4545,2011-07-13,3,0,7,6,False,2,True,1,26.8,29.0,58.0,17.7,18,103,121,Wednesday,Summer
